reported_date,province_state,population,lat,lng,confirmed,active,deaths,recovered,hospitalization_rate,incident_rate,mortality_rate,people_hospitalized,people_tested,testing_rate
2020-07-18,Wisconsin,5822434,44.2685,-89.6165,41485,8638,843,32004,9.84,712.5,2.03,4082,768742,13203.1
2020-07-25,Wisconsin,5822434,44.2685,-89.6165,47870,9692,891,37287,9.12,822.16,1.86,4368,860243,14774.63
2020-07-24,Wisconsin,5822434,44.2685,-89.6165,46917,9706,878,36333,9.22,805.8,1.87,4327,846007,14530.13
2020-07-23,Wisconsin,5822434,44.2685,-89.6165,45899,9519,878,35502,9.31,788.31,1.91,4273,828511,14229.63
2020-07-22,Wisconsin,5822434,44.2685,-89.6165,44847,9300,865,34682,9.42,770.24,1.93,4225,813213,13966.89
2020-07-29,Wisconsin,5822434,44.2685,-89.6165,51049,9722,911,40416,8.89,876.76,1.78,4539,906379,15567.01
2020-07-28,Wisconsin,5822434,44.2685,-89.6165,50179,9760,906,39513,8.95,861.82,1.81,4493,891631,15313.72
2020-07-27,Wisconsin,5822434,44.2685,-89.6165,49417,9891,893,38633,8.94,848.73,1.81,4420,877186,15065.62
2020-07-26,Wisconsin,5822434,44.2685,-89.6165,48827,9964,892,37971,9,838.6,1.83,4394,870229,14946.14
2020-08-02,Wisconsin,5822434,44.2685,-89.6165,54924,10012,948,43964,8.59,943.32,1.73,4717,963656,16550.74
2020-08-01,Wisconsin,5822434,44.2685,-89.6165,54002,9771,947,43284,8.67,927.48,1.75,4681,954003,16384.95
2020-07-31,Wisconsin,5822434,44.2685,-89.6165,52940,9689,934,42317,8.76,909.24,1.76,4637,939083,16128.7
2020-07-30,Wisconsin,5822434,44.2685,-89.6165,52108,9870,919,41319,8.81,894.95,1.76,4590,923681,15864.17
2020-08-05,Wisconsin,5822434,44.2685,-89.6165,56940,9647,970,46323,8.48,977.94,1.7,4826,1006094,17279.61
2020-08-04,Wisconsin,5822434,44.2685,-89.6165,56056,9727,961,45368,8.53,962.76,1.71,4783,989016,16986.3
2020-08-03,Wisconsin,5822434,44.2685,-89.6165,55328,9884,949,44495,8.55,950.26,1.72,4732,970836,16674.06
2020-08-09,Wisconsin,5822434,44.2685,-89.6165,60554,9528,998,50028,8.26,1040.01,1.65,5000,1058577,18181
2020-08-08,Wisconsin,5822434,44.2685,-89.6165,59933,9654,996,49283,8.31,1029.35,1.66,4980,1051158,18053.58
2020-08-07,Wisconsin,5822434,44.2685,-89.6165,58768,9534,990,48244,8.39,1009.34,1.68,4930,1037976,17827.18
2020-08-06,Wisconsin,5822434,44.2685,-89.6165,57779,9580,978,47221,8.45,992.35,1.69,4881,1023836,17584.33
2020-08-13,Wisconsin,5822434,44.2685,-89.6165,63206,8949,1018,53239,8.18,1085.56,1.61,5170,1102817,18940.82
2020-08-12,Wisconsin,5822434,44.2685,-89.6165,62263,8902,1011,52350,8.23,1069.36,1.62,5125,1090377,18727.17
2020-08-11,Wisconsin,5822434,44.2685,-89.6165,61785,9323,1006,51456,8.24,1061.15,1.63,5092,1080400,18555.81
2020-08-10,Wisconsin,5822434,44.2685,-89.6165,61061,9401,998,50662,8.24,1048.72,1.63,5031,1066758,18321.51
2020-08-17,Wisconsin,5822434,44.2685,-89.6165,66196,8555,1039,56602,8.05,1136.91,1.57,5327,1136755,19523.71
2020-08-16,Wisconsin,5822434,44.2685,-89.6165,65741,8720,1039,55982,8.07,1129.1,1.58,5304,1130779,19421.07
2020-08-15,Wisconsin,5822434,44.2685,-89.6165,65056,8846,1038,55172,8.11,1117.33,1.6,5275,1124666,19316.08
2020-08-14,Wisconsin,5822434,44.2685,-89.6165,64227,9021,1025,54181,8.15,1103.1,1.6,5235,1113294,19120.77
2020-08-21,Wisconsin,5822434,44.2685,-89.6165,69059,7936,1068,60055,7.97,1186.08,1.55,5505,1176789,20211.29
2020-08-20,Wisconsin,5822434,44.2685,-89.6165,68233,8090,1067,59076,8.02,1171.9,1.56,5469,1166197,20029.37
2020-08-19,Wisconsin,5822434,44.2685,-89.6165,67493,8189,1060,58244,8.05,1159.19,1.57,5430,1156297,19859.34
2020-08-18,Wisconsin,5822434,44.2685,-89.6165,66196,7775,1039,57382,8.13,1136.91,1.57,5380,1146821,19696.59
2020-08-25,Wisconsin,5822434,44.2685,-89.6165,71492,7403,1094,62995,7.85,1227.87,1.53,5610,1205277,20700.57
2020-08-24,Wisconsin,5822434,44.2685,-89.6165,70854,7463,1081,62310,7.87,1216.91,1.53,5573,1195241,20528.2
2020-08-23,Wisconsin,5822434,44.2685,-89.6165,70462,7661,1081,61720,7.89,1210.18,1.53,5558,1190354,20444.27
2020-08-22,Wisconsin,5822434,44.2685,-89.6165,70009,7995,1081,60933,7.92,1202.4,1.54,5545,1185514,20361.14
2020-08-29,Wisconsin,5822434,44.2685,-89.6165,74800,7606,1119,66075,,1284.69,1.5,,1244470,21373.71
2020-08-28,Wisconsin,5822434,44.2685,-89.6165,73981,7603,1113,65265,,1270.62,1.5,,1235675,21222.65
2020-08-27,Wisconsin,5822434,44.2685,-89.6165,73138,7547,1111,64480,7.77,1256.14,1.52,5684,1226498,21065.04
2020-08-26,Wisconsin,5822434,44.2685,-89.6165,72260,7430,1100,63730,7.82,1241.06,1.52,5651,1215673,20879.12
2020-08-31,Wisconsin,5822434,44.2685,-89.6165,75603,7247,1122,67234,,1298.48,1.48,,1253422,21527.46
2020-08-30,Wisconsin,5822434,44.2685,-89.6165,75337,7516,1122,66699,,1293.91,1.49,,1249602,21461.85
2020-04-14,Wyoming,578759,42.756,-107.3025,282,281,1,140,15.25,56.71,0.35,43,5964,1199.42
2020-04-13,Wyoming,578759,42.756,-107.3025,275,274,1,138,14.91,55.31,0.36,41,5964,1199.42
2020-04-12,Wyoming,578759,42.756,-107.3025,270,270,0,137,14.81,54.3,0,40,5459,1097.86
2020-04-19,Wyoming,578759,42.756,-107.3025,313,311,2,227,15.97,62.95,0.64,50,7281,1464.28
2020-04-18,Wyoming,578759,42.756,-107.3025,309,307,2,206,16.18,62.14,0.65,50,6522,1311.64
2020-04-17,Wyoming,578759,42.756,-107.3025,305,303,2,148,14.1,61.34,0.66,43,6427,1292.53
2020-04-16,Wyoming,578759,42.756,-107.3025,296,294,2,148,14.53,59.53,0.68,43,6427,1292.53
2020-04-15,Wyoming,578759,42.756,-107.3025,287,286,1,129,14.98,57.72,0.35,43,6329,1272.83
2020-04-23,Wyoming,578759,42.756,-107.3025,453,446,7,275,11.48,91.1,1.55,52,7567,1521.8
2020-04-22,Wyoming,578759,42.756,-107.3025,447,441,6,254,11.63,89.9,1.34,52,7623,1533.06
2020-04-21,Wyoming,578759,42.756,-107.3025,443,441,2,237,11.74,89.09,0.45,52,7621,1532.66
2020-04-20,Wyoming,578759,42.756,-107.3025,317,315,2,233,16.09,63.75,0.63,51,7386,1485.4
2020-04-26,Wyoming,578759,42.756,-107.3025,502,495,7,334,10.76,100.96,1.39,54,8159,1640.86
2020-04-25,Wyoming,578759,42.756,-107.3025,491,484,7,321,11,98.75,1.43,54,8146,1638.24
2020-04-24,Wyoming,578759,42.756,-107.3025,473,466,7,321,11.42,95.13,1.48,54,8045,1617.93
2020-04-30,Wyoming,578759,42.756,-107.3025,559,181,7,371,10.02,112.42,1.25,56,9446,1899.69
2020-04-29,Wyoming,578759,42.756,-107.3025,545,538,7,362,10.28,109.61,1.28,56,9217,1853.63
2020-04-28,Wyoming,578759,42.756,-107.3025,536,529,7,343,10.45,107.8,1.31,56,8615,1732.56
